Area,BHK,Bathroom,IsFurnished,Parking,Price,isApartment
800,3,2,0,1,6500000,0
750,2,2,0,1,5000000,1
950,2,2,1,1,15500000,1
600,2,2,0,1,4200000,0
650,2,2,0,1,6200000,0
1300,4,3,0,1,15500000,0
1350,4,3,0,1,10000000,0
650,2,2,0,1,4000000,1
985,3,3,1,1,6800000,0
1300,4,4,0,1,15000000,0
1100,3,2,0,1,6200000,0
870,3,2,0,1,7700000,0
630,2,2,0,1,5500000,0
660,2,2,0,1,5000000,0
344.4448,2,2,0,1,3310000,0
660,2,2,0,1,4700000,0
550,2,2,0,1,4500000,0
1100,4,3,0,1,17000000,0
1150,3,3,0,1,25000000,1
650,2,2,0,1,6000000,0
850,2,2,0,1,11000000,1
900,3,2,0,5,4500000,0
430.556,1,1,1,2,5300000,1
900,2,2,0,1,10500000,1
914.9315,2,2,0,1,12000000,0
1100,3,3,1,1,7000000,0
800,3,2,0,1,7000000,0
500,1,1,0,1,3400000,1
28,2,2,1,1,5000000,1
2160,4,4,1,1,21000000,0
1500,1,,1,,13500000,1
800,2,2,1,1,15000000,0
900,2,2,1,1,10500000,0
1080,3,2,0,1,22500000,0
750,2,2,1,1,13600000,0
1450,3,3,0,2,30000000,0
900,2,2,0,1,13500000,1
810,2,2,0,1,8910000,0
1350,3,4,1,1,25000000,1
1710,3,3,0,4,26000000,0
1650,3,3,0,1,30000000,0
1280,2,2,1,1,12500000,0
1260,3,3,0,1,21000000,0
1130,2,2,1,1,7800000,0
600,2,2,0,1,11500000,0
850,2,2,0,1,11500000,0
1500,3,3,0,2,26000000,0
900,2,2,0,2,13000000,0
1000,3,3,0,1,22000000,0
900,2,2,0,1,15800000,0
2925,4,4,1,2,57500000,0
900,2,2,1,2,10000000,0
1600,3,3,1,2,30000000,0
1143,3,3,1,2,22000000,0
1150,3,3,0,2,24000000,0
1500,3,3,0,1,31500000,0
850,2,2,0,1,14600000,0
8000,4,5,0,1,240000000,0
890,2,2,0,1,8300000,0
1100,3,3,1,1,22500000,0
750,1,1,1,2,4600000,1
850,2,1,0,2,1900000,1
1350,3,2,1,1,5130000,1
1387,4,4,1,1,5890000,1
1050,3,2,1,1,3700000,1
1500,3,2,1,1,17400000,1
1200,3,3,0,1,15500000,1
700,2,1,0,1,2400000,1
1700,3,2,0,1,17200000,1
1550,3,2,1,2,14200000,1
1400,3,3,0,1,13500000,1
1900,4,4,0,1,30000000,1
2160,4,3,1,1,21000000,1
1700,4,3,1,1,20500000,1
1850,3,4,0,1,24000000,1
1800,4,2,0,1,16500000,1
1620,3,2,0,1,14900000,1
1800,4,3,1,1,19200000,1
1540,3,3,0,1,14500000,1
1600,3,3,0,1,15600000,1
1400,3,2,1,1,11400000,1
2300,4,4,1,1,31500000,1
1560,3,2,1,2,15800000,1
1500,3,3,0,2,16000000,1
1540,3,3,0,1,14500000,1
1050,2,2,1,1,10500000,1
1800,3,2,0,1,14800000,1
400,1,1,0,1,1850000,0
1150,3,2,0,1,6800000,0
1525,3,3,0,1,14200000,1
900,1,1,0,,8900000,0
1450,3,3,0,2,37500000,0
1450,3,3,0,2,30000000,0
1260,3,3,0,2,21000000,0
2925,4,4,1,2,57500000,0
1710,3,3,0,1,30000000,0
1600,3,3,1,1,30000000,0
1500,3,3,0,1,31500000,0
2200,3,3,1,1,30000000,0
1350,3,3,1,1,41500000,0
1710,3,3,0,1,24800000,0
1350,3,3,0,2,35000000,0
1500,3,3,0,1,40000000,0
2880,4,5,1,1,46000000,0
2700,4,4,0,2,55000000,0
1400,3,3,1,1,24500000,0
1800,3,3,1,1,24500000,1
1400,3,3,0,1,32500000,0
1000,2,2,1,1,20000000,1
8000,4,5,0,1,240000000,0
1000,2,2,1,1,20000000,1
1700,3,3,1,2,19000000,0
1600,3,3,1,2,26000000,0
1350,3,3,1,1,21000000,0
1700,3,3,0,1,27500000,0
1400,3,3,0,2,32500000,0
1450,3,3,0,1,45000000,0
1350,3,3,0,1,21000000,0
1700,3,3,1,1,28000000,0
1600,3,3,1,2,29500000,0
1500,1,,1,,13500000,1
800,2,2,1,1,14000000,0
1710,3,3,0,4,26000000,0
1350,2,2,1,4,12500000,0
1500,3,3,0,2,26000000,0
750,2,2,0,2,11500000,0
850,2,2,0,2,14600000,0
1575,3,3,0,1,25500000,0
1675,3,3,0,2,31000000,0
1350,3,3,0,2,22000000,0
900,2,2,0,2,13400000,0
1800,3,3,0,2,35000000,0
900,2,2,1,2,11000000,0
900,2,2,1,2,6300000,0
900,2,2,1,2,12500000,0
800,2,2,1,1,14500000,0
1100,2,3,0,1,22500000,0
810,2,2,0,1,15500000,0
1500,3,3,0,1,26000000,0
900,2,2,0,1,15800000,0
825,2,2,1,1,15000000,0
900,2,2,1,1,13000000,0
875,2,2,1,1,15000000,0
1350,3,3,0,1,25000000,0
750,2,2,0,1,16500000,0
900,2,2,1,1,10300000,0
1350,3,3,0,1,26000000,0
900,2,2,1,1,11000000,0
1800,3,3,1,1,28500000,0
900,2,2,1,1,11000000,0
900,2,1,1,1,11000000,1
810,3,2,0,1,4500000,0
450,2,1,1,1,3600000,0
100,3,2,1,1,4300000,0
900,3,2,0,1,4000000,0
500,2,2,0,1,1650000,1
450,1,1,1,1,2000000,0
75,2,2,0,1,3000000,0
270,2,1,0,1,1400000,1
500,2,1,0,1,2000000,0
444,2,2,1,1,2000000,1
400,1,1,1,1,2000000,0
729,3,4,1,1,2600000,0
4050,6,3,1,1,5100000,0
2400,6,4,1,1,6000000,0
450,2,2,1,1,4000000,0
405,2,3,1,1,6200000,0
666,1,2,1,1,3500000,0
1000,2,2,0,1,7600000,1
1360,4,3,0,1,13500000,0
1550,4,3,0,1,12500000,0
850,3,2,0,1,6500000,0
2170,4,4,1,2,22000000,0
720,3,2,0,1,6000000,0
850,3,2,0,1,7300000,0
950,3,2,0,1,7600000,0
2300,4,4,0,1,20000000,0
1300,4,4,0,1,15000000,0
1100,3,2,0,1,6200000,0
1030,3,2,1,1,6200000,0
350,1,1,0,1,2300000,0
750,2,2,0,1,5000000,1
720,2,2,0,1,4700000,1
800,2,2,0,1,5500000,1
350,1,1,0,1,2000000,1
980,3,2,0,1,7300000,1
1600,4,3,0,1,13000000,1
1450,3,3,0,1,11500000,1
445,2,2,0,1,2800000,1
380,1,1,0,1,2200000,1
680,2,2,0,1,4400000,1
1600,3,3,0,1,13500000,1
630,2,2,0,1,4100000,1
1500,3,2,0,1,12000000,1
550,2,2,0,1,3500000,1
2500,4,3,0,1,15000000,1
2800,5,4,0,1,17500000,1
300,1,1,0,1,1900000,1
800,3,2,0,1,5500000,1
1295,3,2,0,1,10000000,1
700,3,2,0,1,4700000,1
350,1,1,0,1,2400000,0
450,2,2,0,1,3800000,0
2200,4,4,0,1,23000000,0
2300,4,4,0,1,24500000,0
1150,3,2,0,1,10000000,0
800,3,2,0,1,5500000,0
850,3,2,0,1,7000000,0
720,3,2,0,1,6500000,0
4688,5,4,1,1,135000000,1
750,2,2,0,1,5000000,1
3901,4,4,1,1,93000000,1
950,3,2,1,1,4370000,1
1000,3,2,1,1,4620000,1
850,2,1,0,1,1900000,1
2400,4,4,0,1,70000000,1
1350,3,2,1,1,5130000,1
540,2,2,0,1,3000000,1
1387,4,4,1,1,5890000,1
540,2,2,0,1,3300000,1
976,2,2,1,1,24900000,1
1050,3,2,1,1,3700000,1
2700,4,3,0,1,60000000,0
1500,3,2,1,1,17400000,1
2900,5,5,1,1,51000000,0
5025,5,6,1,4,170000000,0
1000,3,2,0,1,5510000,0
1135,3,3,1,2,25000000,1
2306,3,3,1,1,57000000,1
850,2,2,0,1,2940000,1
1200,3,3,0,1,15500000,1
1700,3,2,0,1,17200000,1
1800,4,3,0,2,55000000,0
1100,2,2,0,1,15000000,1
22050,4,4,0,2,51000000,0
1550,4,3,0,1,13000000,0
1600,3,3,0,1,30000000,0
700,2,2,0,1,2400000,0
45,4,3,1,1,5500000,0
3510,4,4,0,2,45000000,0
4500,4,4,0,2,60000000,0
1800,4,4,0,2,65000000,0
6000,5,5,0,9,220000000,0
4300,4,4,1,2,60000000,0
1700,3,3,0,2,38500000,0
2500,3,3,0,2,50000000,1
4500,4,4,0,2,75000000,0
2450,4,4,1,2,70000000,0
10350,4,7,0,3,160000000,1
4800,3,4,0,1,85000000,0
1600,3,3,0,2,40000000,1
3500,4,4,1,2,90000000,0
2100,4,5,0,2,56000000,0
4200,5,5,0,2,135500000,0
1500,3,3,0,2,60000000,0
8150,4,5,1,4,170000000,0
2200,4,4,0,2,50000000,0
3500,4,5,0,2,58000000,0
2070,3,3,0,2,37500000,0
3500,3,3,1,1,45000000,0
2000,4,4,0,3,70000000,0
2800,6,4,0,2,29500000,1
2550,4,4,1,1,60000000,0
4500,4,4,0,2,70000000,0
1400,3,3,0,2,50000000,0
2800,4,5,0,2,75000000,0
2700,4,4,0,2,52500000,0
